epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2448,1.47675,1.92219,1.28971,0.68042,0.66328,0.68165,0.43063,1.37299,1.20153,1.21626,0.000369533,0.000369533,0.000369533
2,77.0045,1.34963,1.28812,1.21095,0.62664,0.67627,0.68427,0.4399,1.31032,1.15862,1.19529,0.000703243,0.000703243,0.000703243
3,112.56,1.29678,1.17108,1.18213,0.68888,0.66681,0.71049,0.46354,1.27113,0.98801,1.18371,0.00100029,0.00100029,0.00100029
4,146.744,1.27876,1.08575,1.17533,0.75976,0.7265,0.77008,0.5215,1.22785,0.95405,1.15722,0.000946016,0.000946016,0.000946016
5,180.638,1.21342,0.99925,1.14381,0.79436,0.70543,0.79725,0.54285,1.20235,0.88327,1.14841,0.000891022,0.000891022,0.000891022
6,215.143,1.20872,0.94338,1.13486,0.80159,0.77011,0.8362,0.58038,1.18629,0.81938,1.13823,0.000836027,0.000836027,0.000836027
7,250.033,1.18773,0.89571,1.12263,0.80973,0.75454,0.84167,0.58813,1.16921,0.82643,1.11482,0.000781033,0.000781033,0.000781033
8,284.743,1.16325,0.86286,1.10678,0.79283,0.80598,0.8415,0.5897,1.14196,0.78813,1.10593,0.000726038,0.000726038,0.000726038
9,319.187,1.12527,0.81647,1.096,0.80004,0.78859,0.85509,0.60905,1.12994,0.74712,1.10369,0.000671044,0.000671044,0.000671044
10,352.853,1.10528,0.78009,1.08543,0.82492,0.81275,0.88542,0.62785,1.11216,0.72936,1.09774,0.000616049,0.000616049,0.000616049
11,404.954,1.08119,0.73996,1.0849,0.82532,0.83496,0.88448,0.63418,1.11626,0.71658,1.0951,0.000561055,0.000561055,0.000561055
12,438.171,1.07242,0.71634,1.07449,0.83987,0.80275,0.88467,0.63654,1.10433,0.69468,1.0856,0.00050606,0.00050606,0.00050606
13,471.994,1.0381,0.67839,1.06364,0.83314,0.81734,0.87146,0.6272,1.09201,0.70195,1.09122,0.000451066,0.000451066,0.000451066
14,507.488,1.02809,0.66872,1.05686,0.86238,0.82163,0.8932,0.64683,1.08154,0.69617,1.08852,0.000396071,0.000396071,0.000396071
15,542.179,0.99801,0.63814,1.0464,0.87853,0.79733,0.89717,0.66127,1.07225,0.67543,1.0724,0.000341077,0.000341077,0.000341077
16,576.66,0.97988,0.62108,1.03618,0.88071,0.82393,0.89883,0.65819,1.05921,0.65882,1.07238,0.000286083,0.000286083,0.000286083
17,610.015,0.97287,0.61231,1.03247,0.88788,0.8087,0.90265,0.66402,1.0417,0.64734,1.06432,0.000231088,0.000231088,0.000231088
18,643.055,0.9456,0.58096,1.0221,0.86118,0.8602,0.9069,0.67138,1.03552,0.63544,1.06119,0.000176094,0.000176094,0.000176094
19,676.303,0.9398,0.57634,1.01802,0.9005,0.8252,0.91252,0.67826,1.03418,0.62331,1.06084,0.000121099,0.000121099,0.000121099
20,710.032,0.92977,0.56177,1.01671,0.86127,0.86103,0.91302,0.67786,1.02602,0.61755,1.05841,6.61E-05,6.61E-05,6.61E-05
